Industry,CASH_AND_CASH_EQUIVALENTS_floored1,COST_OF_GOODS_SOLD_1,CURRENT_ASSETS_1,CURRENT_LIABILITIES_1,DEPRECIATION_1,EBITDA_1,FIXED_AND_NON_CURRENT_ASSETS_1,GROSS_PROFIT_1,INTEREST_EXPENSE_1,LONG_TERM_DEBT_1,NET_FIXED_ASSETS_1,NET_INCOME_1,NET_INTANGIBLES_1,NET_TRADE_RECV_1,NON_CURRENT_LIABILITIES_1,RETAINED_EARNINGS_1,TOTAL_ASSETS_1,TOTAL_DEBT_1,TOTAL_INVENTORY_1,TURNOVER_1,WORKING_CAPITAL_1,Debt_to_TNW_1,Equity_to_Liability_1,Equity_to_Assets_1,Long_Term_Debt_to_Equity_1,NetFixedAssets_to_TotalDebt_1,Total_Liab_to_Total_Assets_1,EBITDA_to_total_Debt_1,EBITDA_to_Interest_1,EBITDA_to_curr_liab_1,Cash_to_Total_assets_1,Current_Ratio_1,Liquidity_Ratio_1,Curr_to_Total_Assets_1,Gross_Margin_perc_1,Net_Income_Margin_1,Total_Liab_to_Total_Assets_2_1,Default
Wholesale,5465,1821615,962006,855007,15083,158685,55278,773596,9891,23840,55278,104914,0,563701,23840,138436,1017285,457619,379736,2595211,106999,3.3056,0.1575,0.1361,0.1722,0.1208,0.8639,0.3468,16.0436,0.1856,0.0054,1.1251,0.6657,0.9457,29.8086,4.0426,-0.1748,0
Agriculture - Dairy,-644364,,1936,787675,878,103281,969003,133139,39160,,802263,63243,166740,,,183263,970939,777515,,133139,-785739,47.0539,0.2327,0.1887,,1.0318,0.8113,0.1328,2.6374,0.1311,0,0.02,,0.004,,47.5017,-0.0044,0
EduArtsHealthSocial,2233766,132874,4509112,3164124,398875,661047,2418555,8294785,,,2418555,262172,0,2222719,275217,3488326,6927666,,25221,8427660,1344988,,1.0142,0.5035,,,0.4965,,,0.2089,0.3224,1.4251,1.4084,0.6509,97.9459,3.1108,0.0051,1
Wholesale,508924,5448637,1484740,706407,101041,568022,306976,2414794,412,,306976,339815,0,550988,39821,1044106,1791716,3460,251928,7863431,778333,0.0033,1.401,0.5835,,78.0612,0.4165,45.1856,1378.4899,0.8041,0.284,2.1018,1.5004,0.8287,30.7092,4.3215,0.0881,0
Construction,308450,3169604,4834961,2423588,,64837,,335574,1149,523389,,50408,0,,523389,1887981,4834961,1970704,3455564,3505178,2411373,1.0438,0.6407,0.3905,0.2772,,0.6095,0.0329,56.426,0.0268,0.0638,1.995,,1,9.5737,1.4381,0.023,0
Agriculture - Other,146159,215988,368537,43244,19999,65667,213013,73937,,,213013,45668,0,1178,,538307,581551,34071,215921,289925,325293,0.0633,12.448,0.9256,,6.252,0.0744,1.9274,,1.5185,0.2513,8.5222,3.4071,0.6337,25.5022,15.7517,-0.0851,1
Agriculture - Other,53314,128140,157259,29720,49458,130464,908871,223125,438,,908871,80568,0,1612,,1036411,1066130,,99670,351265,127540,,18.3809,0.9558,,,0.0428,,297.6372,4.3898,0.05,5.2914,1.8481,0.1475,63.5205,22.9364,-0.0534,1
InformationCommunication,236016,1214772,2604361,1973237,148433,1174179,1383820,6969742,63395,746697,661792,962350,722028,1732452,746697,680064,3988181,941479,18138,8184515,631124,1.7236,0.4663,0.318,0.5888,0.7029,0.682,1.2472,18.5216,0.5951,0.0592,1.3198,0.9976,0.653,85.1577,11.7582,-0.3758,1
Agriculture - Other,-644364,64601,69394,101634,28409,57524,2261832,108712,13991,486302,2260062,15125,0,16220,486302,1743289,2331225,581478,39602,173313,-32240,0.3336,2.9651,0.7478,0.279,3.8868,0.2522,0.0989,4.1116,0.566,0,0.6828,0.1596,0.0298,62.7259,8.7267,-0.0057,0
Agriculture - Dairy,-644364,364591,421566,495036,65310,144111,750118,596711,28980,350138,510490,49821,239629,,350138,326510,1171684,785887,343410,961302,-73470,9.0455,0.3863,0.2787,1.0724,0.6496,0.7213,0.1834,4.9728,0.2911,0,0.8516,,0.3598,62.0732,5.1826,0.0117,0
Construction,19490,,19490,41089,,57400,1267407,82965,29617,765728,,21531,0,,1201838,43832,1286897,1233506,,82965,-21599,28.0532,0.0354,0.0342,17.4147,,0.9658,0.0465,1.938,1.397,0.0151,0.4743,,0.0151,,25.9517,0.0104,1
InformationCommunication,2622837,7687102,8493501,3138713,357947,2500186,639170,4511054,1276,1637,639170,2063561,0,5082423,1637,5783136,9132671,70294,,12198156,5354788,0.0117,1.9082,0.6561,0.0003,9.0928,0.3439,35.5677,1958.9588,0.7966,0.2872,2.706,2.4549,0.93,36.9814,16.917,-0.1859,0
Construction,339,733433,5284808,9441056,3212,1304426,17745,1412603,91898,,17117,1202397,0,199,,-4152330,5302553,2606470,3095597,2146036,-4156248,-0.6298,-0.4384,-0.7805,,0.0066,1.7805,0.5005,14.1943,0.1382,0.0001,0.5598,0.0075,0.9967,65.8238,56.0287,,0
EduArtsHealthSocial,-644364,41729,11596,48630,26073,193269,401052,361444,15031,331402,359859,145908,41192,5141,331402,32615,412647,367787,6292,403173,-37034,-24.3633,0.0858,0.079,10.161,0.9784,0.921,0.5255,12.8584,3.9743,0,0.2384,0.1057,0.0281,89.6499,36.19,0.068,0
Agriculture - Other,-644364,72375,241217,823825,38396,120636,1256527,201754,24172,,1256527,58067,0,,,673920,1497745,783653,186379,274128,-582607,1.1628,0.818,0.45,,1.6034,0.55,0.1539,4.9907,0.1464,0,0.2928,,0.1611,73.5982,21.1826,-0.0364,0
Agriculture - Other,-644364,275138,426877,300997,29616,46165,2801502,104509,9628,55168,2776609,4865,0,249,90806,-771032,3228379,301152,362062,379646,125880,0.1062,7.2398,0.8786,0.0194,9.22,0.1214,0.1533,4.7948,0.1534,0,1.4182,0.0075,0.1322,27.5279,1.2813,0.0151,0
Services_ProfessionalSciTech,523,405198,532810,255353,26780,796319,105384,1209901,2482,,105384,767057,0,420334,,382841,638194,200264,70359,1615099,277457,0.5231,1.4993,0.5999,,0.5262,0.4001,3.9763,320.8318,3.1185,0.0008,2.0866,1.6481,0.8349,74.9119,47.4929,-0.0415,0
Agriculture - Other,767,158273,331419,456488,72455,251215,2649237,495097,15568,203217,2649237,163191,0,99240,272354,2251814,2980656,478963,231411,653370,-125069,0.2127,3.0896,0.7555,0.0902,5.5312,0.2445,0.5245,16.1362,0.5503,0.0003,0.726,0.2191,0.1112,75.7759,24.9769,0.0225,1
Wholesale,199446,1059316,770200,150675,473,18351,792,356686,986,,792,16892,0,365417,,424658,770992,,177528,1416002,619525,,4.1169,0.8046,,,0.1954,,18.6129,0.1218,0.2587,5.1117,3.7489,0.999,25.1896,1.1929,-0.0458,0
Retail,722290,5381450,5339119,3995738,127656,-362691,4363351,4424304,62655,1782032,4363348,-520230,0,1944000,1866729,430123,9702470,2289963,2237883,9805755,1343381,0.5963,0.655,0.3958,0.4641,1.9054,0.6042,-0.1584,-5.7887,-0.0908,0.0744,1.3362,0.6673,0.5503,45.1195,-5.3054,-0.0765,0
Services_SupportAdmin,27448,8144546,1990769,1699736,61061,268658,222863,1749496,3696,81515,222863,121116,0,1792789,89811,423946,2213632,1117009,,9894042,291033,2.6339,0.237,0.1916,0.1922,0.1995,0.8084,0.2405,72.6869,0.1581,0.0124,1.1712,1.0709,0.8993,17.6823,1.2241,0.4225,0
Agriculture - Other,-644364,22529,50917,291082,14769,29931,308108,36202,9039,,278967,6123,0,1569,,67943,359025,288071,49348,58731,-240165,4.2399,0.2334,0.1892,,0.9684,0.8108,0.1039,3.3113,0.1028,0,0.1749,0.0075,0.1418,61.6401,10.4252,-0.1146,1
Transport,732300,560695,852727,1500722,177196,634526,4559693,965686,252761,2856838,4559693,204175,0,83991,2856838,-1710652,5412420,3924867,4501,1526380,-647995,3.7207,0.2421,0.1949,2.7083,1.1617,0.8051,0.1617,2.5104,0.4228,0.1353,0.5682,0.5439,0.1576,63.2664,13.3764,-0.0092,0
EduArtsHealthSocial,264852,597212,438642,686178,84826,207372,2700472,721316,5408,277650,2700472,90865,0,87632,277650,697193,3139114,332638,18357,1318527,-247537,0.1529,2.2569,0.693,0.1276,8.1183,0.307,0.6234,38.3457,0.3022,0.0844,0.6393,0.5137,0.1397,54.7061,6.8914,0.0276,0
Services_SupportAdmin,5640,1829002,1075146,953920,29126,50088,41987,573274,9932,20310,31795,2438,10192,637796,20310,142765,1117133,429340,325918,2402276,121226,3.2351,0.1467,0.1279,0.1421,0.0741,0.8721,0.1167,5.0429,0.0525,0.005,1.1271,0.6745,0.9624,23.8638,0.1015,-0.0541,0
Wholesale,349598,2587469,2345931,143574,39959,479909,296594,1610027,,,296594,439950,0,888193,,2498951,2642525,27182,1108140,4197497,2202357,0.0109,17.4053,0.9457,,10.9113,0.0543,17.6553,,3.3426,0.1323,14.2506,6.9,0.8878,38.3568,10.4812,-0.1027,0
Agriculture - Other,174,120283,112744,337152,70139,222780,1941377,430240,27683,348120,1941377,124958,0,15918,348120,1368850,2054121,505837,81768,550523,-224407,0.3695,1.9975,0.6664,0.2543,3.838,0.3336,0.4404,8.0476,0.6608,0.0001,0.3344,0.0477,0.0549,78.1511,22.6981,0.0019,0
Manufacture,147785,10262513,4228743,2352650,55578,286604,521496,2594008,13468,33519,292458,187090,0,2241279,308408,2082267,4750239,854397,1794953,12856522,1876093,0.409,0.7851,0.4398,0.016,0.3423,0.5602,0.3354,21.2803,0.1218,0.0311,1.7974,1.0155,0.8902,20.1766,1.4552,-0.0213,1
Hospitality,34303,4842156,415168,1265502,137556,116446,1803685,2211158,15585,183796,1803685,-50435,0,2212,257610,176762,2218853,478183,39970,7053314,-850333,0.6873,0.4568,0.3136,0.2642,3.772,0.6864,0.2435,7.4717,0.092,0.0155,0.3281,0.0289,0.1871,31.3492,-0.715,0.0296,0
Services_SupportAdmin,50934,4080806,651018,448456,5531,194901,16528,622630,,,16528,150933,0,600084,,218951,667546,38436,,4703436,202561,0.1754,0.4885,0.3282,,0.43,0.6718,5.0707,,0.4346,0.0763,1.4517,1.4517,0.9752,13.2378,3.209,-0.1677,0
Agriculture - Other,1072,5116,110985,735150,5866,34432,418034,186054,23069,,418034,5498,0,,,-206130,529020,651825,98856,191170,-624165,-3.1622,-0.2804,-0.3896,,0.6413,1.3896,0.0528,1.4926,0.0468,0.002,0.151,,0.2098,97.3237,2.8759,0.0203,0
Wholesale,5416,4503694,1612736,782374,1203,283058,3608,563623,15751,,3608,211508,0,312127,,833832,1616344,179009,1286822,5067317,830362,0.2146,1.0659,0.516,,0.0202,0.484,1.5813,17.9709,0.3618,0.0034,2.0613,0.4059,0.9978,11.1227,4.174,-0.0068,0
EduArtsHealthSocial,241364,4723137,1178035,2098457,202065,507215,1834614,1529322,45748,,1427155,149174,407459,620879,,-3538070,3012650,125073,21051,6252459,-920421,0.2468,0.4357,0.3035,,11.4106,0.6965,4.0554,11.087,0.2417,0.0801,0.5614,0.4109,0.391,24.4595,2.3859,-0.0169,0
Agriculture - Other,-644364,390588,239236,241751,52211,126783,326806,304481,2630,111088,326806,71942,0,56707,111088,213203,566042,282118,164198,695069,-2515,1.3232,0.6042,0.3767,0.521,1.1584,0.6233,0.4494,48.2066,0.5244,0,0.9896,0.2346,0.4226,43.8059,10.3503,-0.0223,0
